Name,Nickname,Group
Eddard,Ned,North
Catelyn,,North
Robb,,North
Sansa,,North
Arya,'Arry,North
Bran,,North
Rickon,,North
Jon,Snow,North
Qhorin,Halfhand,North
Orell,,North
Shae,,Crownlands
Benjen,,North
Roose,,North
Ramsay,,North
Rickard,,North
Alys,,North
Wyman,,North
Hodor,,North
Osha,,North
Jeyne,,North
Jojen,,North
Meera,,North
Jeyne,,North
Daenerys,Dany,Essos
Irri,,Essos
Viserys,,Essos
Jon Arryn,,Crownlands 
Jorah,,Essos
Brynden,Bloodraven,North
Missandei,,Essos
Daario,,Essos
Grey Worm,Worm,Essos
Tywin,,Crownlands
Cersei,,Crownlands
Jaime,,Crownlands
Tyrion,Imp,Crownlands
Joffrey,,Crownlands
Myrcella,,Crownlands
Tommen,,Crownlands
Kevan,,Crownlands
Lancel,,Crownlands
Bronn,,Crownlands
Gregor,the mountain,Crownlands
Sandor,The Hound,Crownlands
Podrick,Podge,Crownlands
Robert,,Crownlands
Stannis,,Crownlands
Selyse,,Crownlands
Shireen,,Crownlands
Melisandre,,Crownlands
Davos,,Crownlands
Renly,,Reach
Brienne,,Reach
Beric,,Riverlands
Gendry,,Riverlands
Edric,,Stormlands
Jon Connington,,Essos
Lysa,,Vale
Robin,Sweetrobin,Vale
Yohn,,Vale
Anya,,Vale
Nestor,,Essos
Belwas,,Essos
Theon,,North
Balon,,Iron Islands
Asha,,Iron Islands
Euron,,Iron Islands
Victarion,,Iron Islands
Aeron,,Iron Islands
Rodrik,,North
Doran,,Dorne
Arianne,,Dorne
Quentyn,,Dorne
Trystane,,Dorne
Oberyn,,Dorne
Ellaria,,Dorne
Areo,,Dorne
Hoster,,Riverlands
Edmure,,Riverlands
Brynden,Blackfish,Riverlands
Walder,,Riverlands
Mace,,Reach
Loras,,Reach
Margaery,,Reach
Olenna,,Reach
Randyll,,Reach
Jeor,,North
Aemon,,North
Yoren,,North
Samwell,Sam,North
Janos,,Crownlands
Alliser,,North
Mance,,North
